year,month,date,Open,High,Low,Close,Volume
1932,6,1932-06-15 20:21:49.090909184+00:00,4.74500001560558,4.74500001560558,4.74500001560558,4.74500001560558,0.0
1932,7,1932-07-16 12:24:00+00:00,4.974499988555908,4.974499988555908,4.974499988555908,4.974499988555908,0.0
1932,8,1932-08-15 19:39:07.826086912+00:00,7.5160869930101475,7.5160869930101475,7.5160869930101475,7.5160869930101475,0.0
1932,9,1932-09-16 17:57:08.571428608+00:00,8.22047624133882,8.22047624133882,8.22047624133882,8.22047624133882,0.0
1932,10,1932-10-16 15:48:00+00:00,7.105500054359436,7.105500054359436,7.105500054359436,7.105500054359436,0.0
1932,11,1932-11-15 11:00:00+00:00,7.019500017166138,7.019500017166138,7.019500017166138,7.019500017166138,0.0
1932,12,1932-12-15 18:42:51.428571392+00:00,6.824285711560931,6.824285711560931,6.824285711560931,6.824285711560931,0.0
1933,1,1933-01-16 19:51:25.714285824+00:00,7.0880952562604636,7.0880952562604636,7.0880952562604636,7.0880952562604636,0.0
1933,2,1933-02-14 03:40:00+00:00,6.250000052981907,6.250000052981907,6.250000052981907,6.250000052981907,0.0
1933,3,1933-03-19 12:30:00+00:00,6.2012500166893005,6.2012500166893005,6.2012500166893005,6.2012500166893005,0.0
1933,4,1933-04-15 18:53:41.052631552+00:00,6.870526288685046,6.870526288685046,6.870526288685046,6.870526288685046,0.0
1933,5,1933-05-15 04:00:00+00:00,8.869090860540217,8.869090860540217,8.869090860540217,8.869090860540217,0.0
1933,6,1933-06-16 05:05:27.272727296+00:00,10.422727324745871,10.422727324745871,10.422727324745871,10.422727324745871,0.0
1933,7,1933-07-17 00:24:00+00:00,11.238500022888184,11.238500022888184,11.238500022888184,11.238500022888184,0.0
1933,8,1933-08-16 04:00:00+00:00,10.671304371045983,10.671304371045983,10.671304371045983,10.671304371045983,0.0
1933,9,1933-09-16 12:39:00+00:00,10.59699993133545,10.59699993133545,10.59699993133545,10.59699993133545,0.0
1933,10,1933-10-16 08:25:42.857142912+00:00,9.557142802647181,9.557142802647181,9.557142802647181,9.557142802647181,0.0
1933,11,1933-11-15 14:36:00+00:00,9.76399998664856,9.76399998664856,9.76399998664856,9.76399998664856,0.0
1933,12,1933-12-15 12:12:00+00:00,9.963999938964843,9.963999938964843,9.963999938964843,9.963999938964843,0.0
1934,1,1934-01-16 12:38:10.909090944+00:00,10.559999986128373,10.559999986128373,10.559999986128373,10.559999986128373,0.0
1934,2,1934-02-14 15:40:00+00:00,11.322777801089817,11.322777801089817,11.322777801089817,11.322777801089817,0.0
1934,3,1934-03-15 14:08:34.285714304+00:00,10.72571427481515,10.72571427481515,10.72571427481515,10.72571427481515,0.0
1934,4,1934-04-15 10:40:00+00:00,10.912857101077126,10.912857101077126,10.912857101077126,10.912857101077126,0.0
1934,5,1934-05-15 12:43:38.181818240+00:00,9.815454569729892,9.815454569729892,9.815454569729892,9.815454569729892,0.0
1934,6,1934-06-15 22:17:08.571428608+00:00,9.941428502400717,9.941428502400717,9.941428502400717,9.941428502400717,0.0
1934,7,1934-07-16 16:34:17.142857088+00:00,9.459047589983259,9.459047589983259,9.459047589983259,9.459047589983259,0.0
1934,8,1934-08-16 12:20:52.173913088+00:00,9.1026087221892,9.1026087221892,9.1026087221892,9.1026087221892,0.0
1934,9,1934-09-16 07:47:22.105263104+00:00,8.863157975046258,8.863157975046258,8.863157975046258,8.863157975046258,0.0
1934,10,1934-10-16 00:38:10.909090944+00:00,8.949545426802201,8.949545426802201,8.949545426802201,8.949545426802201,0.0
1934,11,1934-11-16 07:31:34.736842112+00:00,9.192631721496582,9.192631721496582,9.192631721496582,9.192631721496582,0.0
1934,12,1934-12-16 00:12:00+00:00,9.248499965667724,9.248499965667724,9.248499965667724,9.248499965667724,0.0
1935,1,1935-01-16 21:21:49.090909056+00:00,9.248636332425205,9.248636332425205,9.248636332425205,9.248636332425205,0.0
1935,2,1935-02-15 02:20:00+00:00,8.971666759914822,8.971666759914822,8.971666759914822,8.971666759914822,0.0
1935,3,1935-03-15 23:17:08.571428608+00:00,8.39142858414423,8.39142858414423,8.39142858414423,8.39142858414423,0.0
1935,4,1935-04-14 23:11:25.714285696+00:00,8.974761781238374,8.974761781238374,8.974761781238374,8.974761781238374,0.0
1935,5,1935-05-15 21:27:16.363636352+00:00,9.707727258855646,9.707727258855646,9.707727258855646,9.707727258855646,0.0
1935,6,1935-06-15 16:00:00+00:00,10.121999931335449,10.121999931335449,10.121999931335449,10.121999931335449,0.0
1935,7,1935-07-16 08:21:49.090909056+00:00,10.653636412187057,10.653636412187057,10.653636412187057,10.653636412187057,0.0
1935,8,1935-08-16 05:05:27.272727296+00:00,11.319545485756613,11.319545485756613,11.319545485756613,11.319545485756613,0.0
1935,9,1935-09-16 01:39:00+00:00,11.605000019073486,11.605000019073486,11.605000019073486,11.605000019073486,0.0
1935,10,1935-10-16 05:00:00+00:00,11.897391319274902,11.897391319274902,11.897391319274902,11.897391319274902,0.0
1935,11,1935-11-16 03:40:00+00:00,13.046111106872559,13.046111106872559,13.046111106872559,13.046111106872559,0.0
1935,12,1935-12-15 17:34:17.142857088+00:00,13.072380974179222,13.072380974179222,13.072380974179222,13.072380974179222,0.0
1936,1,1936-01-17 06:05:27.272727296+00:00,13.769545511765914,13.769545511765914,13.769545511765914,13.769545511765914,0.0
1936,2,1936-02-15 21:25:15.789473664+00:00,14.56789473483437,14.56789473483437,14.56789473483437,14.56789473483437,0.0
